url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city),competition,sentiment_score,rate_norm,votes_norm,competition_norm,sentiment_norm,investment_score
https://www.zomato.com/hyderabad/1,"Road 48, Kondapur, Hyderabad",Kondapur Restaurant 1,Yes,No,4.7,20414,+91 9702634525,Kondapur,Cafe,Mutton Biryani,"Bakery, Desserts",1200,"[('Rated 4.6','Good food and service')]",Chicken Biryani,Cafes,Hyderabad,33,1,0.8823529411764705,0.8160596823359538,0.0,,
https://www.zomato.com/hyderabad/2,"Road 76, Miyapur, Hyderabad",Miyapur Restaurant 2,Yes,No,4.6,21004,+91 9595313323,Miyapur,Casual Dining,Paneer Butter Masala,South Indian,1200,"[('Rated 3.8','Good food and service')]",Burger,Delivery,Hyderabad,24,1,0.8235294117647055,0.8397240494144071,0.375,,
https://www.zomato.com/hyderabad/3,"Road 50, Charminar, Hyderabad",Charminar Restaurant 3,Yes,Yes,4.9,10980,+91 9910972386,Charminar,Cafe,Burger,Fast Food,1500,"[('Rated 4.0','Good food and service')]",Pizza,Cafes,Hyderabad,25,1,1.0,0.43767046366115836,0.3333333333333333,,
https://www.zomato.com/hyderabad/4,"Road 42, Begumpet, Hyderabad",Begumpet Restaurant 4,Yes,No,4.3,6510,+91 9986876995,Begumpet,Bakery,Chicken Biryani,"Bakery, Desserts",600,"[('Rated 3.8','Good food and service')]",Chicken Biryani,Dine-out,Hyderabad,19,1,0.6470588235294115,0.25838280121931656,0.5833333333333334,,
https://www.zomato.com/hyderabad/5,"Road 2, Gachibowli, Hyderabad",Gachibowli Restaurant 5,No,Yes,3.8,11600,+91 9752730948,Gachibowli,Bakery,Mutton Biryani,"Biryani, North Indian",400,"[('Rated 4.3','Good food and service')]",Haleem,Cafes,Hyderabad,28,1,0.352941176470588,0.462538103641906,0.20833333333333334,,
https://www.zomato.com/hyderabad/6,"Road 51, Hitech City, Hyderabad",Hitech Restaurant 6,Yes,Yes,4.6,9558,+91 9556604619,Hitech City,Quick Bites,Pizza,"Bakery, Desserts",800,"[('Rated 4.5','Good food and service')]",Masala Dosa,Desserts,Hyderabad,16,1,0.8235294117647055,0.38063532809241135,0.7083333333333334,,
https://www.zomato.com/hyderabad/7,"Road 13, Tolichowki, Hyderabad",Tolichowki Restaurant 7,No,Yes,4.7,2514,+91 9627285924,Tolichowki,Quick Bites,Coffee,"Bakery, Desserts",500,"[('Rated 4.4','Good food and service')]",Burger,Delivery,Hyderabad,16,1,0.8823529411764705,0.09810685063372372,0.7083333333333334,,
https://www.zomato.com/hyderabad/8,"Road 82, Secunderabad, Hyderabad",Secunderabad Restaurant 8,Yes,No,4.5,6315,+91 9401300398,Secunderabad,Quick Bites,Burger,Fast Food,500,"[('Rated 3.3','Good food and service')]",Coffee,Buffet,Hyderabad,14,1,0.764705882352941,0.25056152735440396,0.7916666666666666,,
https://www.zomato.com/hyderabad/9,"Road 66, Secunderabad, Hyderabad",Secunderabad Restaurant 9,No,No,4.4,8940,+91 9295224411,Secunderabad,Fine Dining,Chicken Biryani,Chinese,1500,"[('Rated 3.2','Good food and service')]",Haleem,Buffet,Hyderabad,15,1,0.7058823529411765,0.35584790630515,0.75,,
https://www.zomato.com/hyderabad/10,"Road 41, Banjara Hills, Hyderabad",Banjara Restaurant 10,No,Yes,4.3,24120,+91 9295984019,Banjara Hills,Bakery,Haleem,Fast Food,1000,"[('Rated 3.8','Good food and service')]",Coffee,Cafes,Hyderabad,13,1,0.6470588235294115,0.9647039948660356,0.8333333333333334,,
https://www.zomato.com/hyderabad/11,"Road 45, Jubilee Hills, Hyderabad",Jubilee Restaurant 11,No,No,4.3,11040,+91 9033323448,Jubilee Hills,Buffet,Pizza,"Biryani, North Indian",400,"[('Rated 3.9','Good food and service')]",Burger,Delivery,Hyderabad,25,1,0.6470588235294115,0.44007700946574685,0.3333333333333333,,
https://www.zomato.com/hyderabad/12,"Road 58, Miyapur, Hyderabad",Miyapur Restaurant 12,No,Yes,4.7,10624,+91 9728884402,Miyapur,Buffet,Burger,"Cafe, Beverages",400,"[('Rated 3.1','Good food and service')]",Pizza,Cafes,Hyderabad,17,1,0.8823529411764705,0.42339162522060003,0.6666666666666666,,
https://www.zomato.com/hyderabad/13,"Road 58, Banjara Hills, Hyderabad",Banjara Restaurant 13,Yes,No,3.7,16896,+91 9320260155,Banjara Hills,Fine Dining,Chicken Biryani,South Indian,800,"[('Rated 4.2','Good food and service')]",Coffee,Cafes,Hyderabad,28,1,0.2941176470588235,0.6749558799935825,0.20833333333333334,,
